港澳台,#genre#
 八大第一台,http://api.mytv666.top/api/hkhk.php?id=3238623934303035353934313834633739393932656236616464353134623838267469643d77696e74763132332669643d3938&auth=123
 八大综合台,http://api.mytv666.top/api/hkhk.php?id=6432303036623131376165396235363838636230323933383061356535356232267469643d77696e74763132332669643d3939&auth=123
 好莱坞电影台,http://api.mytv666.top/api/hkhk.php?id=6266373463666136333137313336333434663535336432643739393566656163267469643d77696e74763132332669643d313033&auth=123
 BBC新闻,http://api.mytv666.top/api/hkhk.php?id=6439336265303632383566343461326233393961613861353532633231323266267469643d77696e74763132332669643d313039&auth=123
 CNN新闻,http://api.mytv666.top/api/hkhk.php?id=3561323535353230366331396166326338366665396463653732633764663332267469643d77696e74763132332669643d313038&auth=123
 FOX新聞,http://api.mytv666.top/api/hkhk.php?id=3235346463643265363264313532353732653563336239333764633039393761267469643d77696e74763132332669643d313037&auth=123
 HBO HD,http://api.mytv666.top/api/hkhk.php?id=3039623438623762383530346238303235643436376164373232633135316237267469643d77696e74763132332669643d313034&auth=123
 Discovery,http://api.mytv666.top/api/hkhk.php?id=3136386361626565666132623631313664353563353234303965343739353437267469643d77696e74763132332669643d313133&auth=123
 中天新闻,http://api.mytv666.top/api/hkhk.php?id=3137643233333439346166313334653237333864653661343464306664396334267469643d6c6974762669643d33&auth=123
 TVBS HD,http://api.mytv666.top/api/hkhk.php?id=6536366338333631386263633261626235366166306461313562633334636466267469643d6c6974762669643d31&auth=123
 TVBS新闻台,http://api.mytv666.top/api/hkhk.php?id=3566343039363032326664316538646435396239653634376538663463616363267469643d6c6974762669643d32&auth=123
 台视新闻,http://api.mytv666.top/api/hkhk.php?id=6433333165386336613063626338393361396264666130613432643936646636267469643d6c6974762669643d35&auth=123
 华视新闻,http://api.mytv666.top/api/hkhk.php?id=3830626631333739383963643966386130313661356437643937663761323539267469643d6c6974762669643d36&auth=123
 中视新闻,http://api.mytv666.top/api/hkhk.php?id=3937393830393736346464623932376265653738376232303633363230626261267469643d6c6974762669643d38&auth=123
 非凡新闻,http://api.mytv666.top/api/hkhk.php?id=3734373061323735386438613138616664373266346632626630366363323836267469643d6c6974762669643d39&auth=123
 镜新闻,http://api.mytv666.top/api/hkhk.php?id=6137656535346339386531386537653566356365653766666435353561376566267469643d6c6974762669643d3130&auth=123
 东森新闻,http://api.mytv666.top/api/hkhk.php?id=6236663038336461386635626134356430623963363663343365663131396630267469643d6c6974762669643d3131&auth=123
 东森财经新闻,http://api.mytv666.top/api/hkhk.php?id=6234613135613335326162643762626238373532383137393137353932643532267469643d6c6974762669643d3132&auth=123
 半岛新闻,http://api.mytv666.top/api/hkhk.php?id=6162653635313936356639663139393632633964633039323538623336373136267469643d6c6974762669643d3133&auth=123
 民视新闻台,http://api.mytv666.top/api/hkhk.php?id=6663663732663239643832393361313665666465353566343730396537656635267469643d6c6974762669643d3134&auth=123
 民视台湾台,http://api.mytv666.top/api/hkhk.php?id=3262666265306232373131313035303231393832613362363562363032636233267469643d6c6974762669643d3135&auth=123
